"actors","Embedding1","Embedding2","Embedding3"
"AbidjanCommunalMilitia(IvoryCoast)",30.6280261279288,-5.31179223424747,-0.765735252923113
"AbidjiEthnicMilitia(IvoryCoast)",17.7255245714578,6.80206270634367,-38.6419740364904
"Abiem-LouAguerGeng-MalualSub-ClanMilitia(SouthSudan)",15.9786936407632,14.0501364474358,16.1651651811315
"Abiem-MalualSub-ClanMilitia(SouthSudan)",11.5158723778949,0.171651295931008,5.81697633478907
"AbiliangClanMilitia(SouthSudan)",2.15757453989661,-29.3401835663662,-3.35695163430682
"AbimCommunalMilitia(Uganda)",7.83415081163244,12.4121853047669,46.0641018201316
"AblekAdaliClanMilitia(Ethiopia)",16.1117354732655,-20.7360650416095,-13.9325652220755
"ABMSM:AbahlaliBasemjondoloShackDwellersMovement",-26.4634426440598,-14.4492046644403,-11.4773436133675
"AboatsamCommunalMilitia(Ghana)",-12.3640509732302,16.9610102384372,2.13243108147234
"AboboCommunalMilitia(IvoryCoast)",-0.420567034395878,-8.83489597574058,-30.6005487864592
"AbogbeCommunalMilitia(Nigeria)",2.60649547191092,-29.9730593872721,-3.13943629861705
"AbolitionoftheAbyssBattalion",0.176547207671238,-46.0681083396754,-1.09905408609381
"AbrakaCommunalMilitia(Nigeria)",-7.85811142084997,-3.50299070953305,63.2741547515428
"AbrasCommunalMilitia(IvoryCoast)",4.76575697737288,-14.2876890525295,-38.504667258127
"AbrumaseCommunalMilitia(Ghana)",-29.8993051573033,-6.44948842517001,23.2281319376826
"AbsameClanMilitia(Somalia)",-7.31012333510623,8.07687817791619,-8.36421896632401
"AbtisameClanMilitia(Somalia)",26.581342768163,5.3247788636896,-0.233525642224145
"AbuBakrAbuSninaBrigade",-5.40969969984768,-29.0411565561008,-5.45549078599208
"AbuDarakClanMilitia(Sudan)",1.60413779568397,-23.8555724423975,10.6561966252118
"AbudusEthnicMilitia(Ghana)",31.0457888007726,24.2303289306637,-23.7520820465901
"AbuGhilanBrigade",-14.7490458679815,-22.8164264564715,-7.59102114856473
"AbukarHajiWarsameXuudMilitia(Somalia)",-3.08339093092953,-21.0691874225564,11.1261228496409
"AbulomaCommunalMilitia(Nigeria)",-28.8858707451864,-14.7762658717439,-6.05516889512751
"AbuObeidaBrigade",-8.47500885896241,-58.3510706619421,-0.544285662363483
"Abuok-RekSub-ClanMilitia(SouthSudan)",-30.8268470682799,-12.6948898952446,26.4812794842228
"Abuong-Luach-JangSub-ClanMilitia(SouthSudan)",-17.3368550885842,-1.65930704147496,45.2859294042502
"AbuRaawiBrigade",-30.0673405799781,-13.0463705707832,-9.22135217924716
"AbuSalimMartyrsBrigade",-8.68452057156123,-65.1689058958585,5.93144525778062
"AbuShayfaClanMilitia(Libya)",-24.6079095534657,10.6168241698771,-2.30851116035889
"AbyeiCommunalMilitia(Sudan)",13.3962011880494,34.0882550451121,-35.4007883210254
"AC:ActionCongress",49.3970340194475,36.748520092469,1.64329856408794
"AccraCommunalMilitia(Ghana)",-18.7281512859815,8.8583101638173,39.9269237779326
"AchabaRidersMilitia",-4.66923024909124,13.865602100519,38.3939906149641
"AchallaCommunalMilitia(Nigeria)",29.4164429628553,21.3535370421419,8.25550534953086
"AchigachiaCommunalMilitia(Cameroon)",33.853711441975,30.1444951283475,27.763644400523
"AcholiEthnicMilitia(SouthSudan)",-5.12306141725221,6.30139959689385,14.5766437891565
"AcholiEthnicMilitia(Uganda)",-11.1327117010614,7.90085289642976,-41.5165463208144
"AchwaCommunalMilitia(Uganda)",16.4525475678688,7.17274928452017,-38.347384142716
"ActionSA",9.05158926162292,0.497171506737394,59.7732866046851
"AD:AllianceforDemocracy",48.6733181294233,36.8153850405265,1.26156907306007
"AdaCommunalMilitia(Ghana)",-5.35523061229169,-22.2939044840226,-4.47548321609547
"AdadamaCommunalMilitia(Nigeria)",-24.8954767352697,2.44069346329532,-9.30007350562058
"AdagboCommunalMilitia(Nigeria)",-14.4943904570426,-5.19486827537698,-0.402619841276868
"AdamawaCommunalMilitia(Nigeria)",-24.9532740844723,-0.61015184369804,61.6488431017479
"AdanaCommunalMilitia(Nigeria)",-14.1341602421959,1.39704307750446,0.590584134007521
"AdaraEthnicMilitia(Nigeria)",37.4708082047138,29.574669760487,-3.06719059664032
"ADC:AfricanDemocraticCongress",-15.355114760062,12.1014142938466,21.5961905358623
"ADC:DemocraticAllianceof23rdMayforChange",-0.0428146561817291,2.20840704959575,-49.5852686490217
"ADD:AllianceforDemocraticDevelopment",-31.2408773401293,-0.632933491787113,0.0217641339854676
"AdDabbahCommunalMilitia(Sudan)",-10.7750373613343,-0.23391964658195,66.0825426631061
"AddeMussaCommunalMilitia(Somalia)",-31.6807337933371,-5.11014036818662,-32.5014323337731
"Adeel-Luach-JangSub-ClanMilitia(SouthSudan)",-7.1344609687765,-14.0122806285301,-0.588884192022568
"ADEMA-PASJ:AllianceforDemocracyinMali-Pan-AfricanPartyforLiberty,SolidarityandJustice",-12.2246344848159,-7.85955964018478,-25.0822750374655
"AdemaLiberationArmy",-14.7115899453645,-3.70044605730055,41.6043353286463
"ADF-NALU:AlliedDemocraticForces-NationalArmyfortheLiberationofUganda",6.9756757857451,49.6782598736428,-17.7572165061392
"ADF:AlliedDemocraticForces",8.39676190487795,30.6942631552963,-72.3292527371693
"ADF:TheAmbazoniaDefenseForces",42.8991322699129,16.0840485041304,31.0690724311813
"ADFL:AllianceofDemocraticForcesforLiberation",4.54444676768092,-11.8576785390437,-46.636460076953
"ADFM:AmharaDemocraticForceMovement",-29.4654585710612,12.5403329935458,-6.20452255078511
"AdilangCommunalMilitia(Uganda)",-18.9677588500581,2.84233140029147,58.1928763369579
"ADIN:AssociationforthePropagationofIslaminNiger",-10.6181833148663,-6.20951611846188,20.0067571016618
"AdjoukrouEthnicMilitia(IvoryCoast)",-32.0258383126687,7.78718161778479,31.9646293825967
"AdoCommunalMilitia(Nigeria)",-4.5787942826052,1.23585155441688,-23.6509708016762
"AdoguCommunalMilitia(Nigeria)",-24.6642062165054,17.0542670341776,14.9172641130291
"AdongkweruCommunalMilitia(Uganda)",-0.786526388584198,3.96046291548113,-33.5295131207446
"AdouaEthnicMilitia(Niger)",-23.8023583339775,6.06269691466955,48.4767564385036
"ADP:AllianceDemocraticParty",-23.7812220552452,-3.65974559473218,30.0561794839081
"AdugbeCommunalMilitia(Nigeria)",-26.0991520223531,-5.27168165120843,17.2441371215129
"AdumaCommunalMilitia(Nigeria)",-16.9375369373661,-4.45245511367638,30.150107514686
"AfabenCommunalMilitia(Nigeria)",-4.66647907933756,0.854345990891479,54.4112175509052
"AfadeCommunalMilitia(Cameroon)",17.1032307983262,6.45017919489932,9.04041689635
"AfadiEthnicMilitia(Ghana)",-24.4803520095507,-4.43589643917885,15.0108294918498
"AfarEthnicMilitia(Djibouti)",20.6808222587772,-5.18818996259087,33.3619505869337
"AfarEthnicMilitia(Ethiopia)",-37.9630246034908,36.4648083198507,-13.2343784918719
"AFDC:AllianceofDemocraticForcesofCongo",-9.35437602249373,13.5418832817252,-45.7397801789392
"AffaEthnicMilitia(Nigeria)",-19.9490303441286,-2.70436858476872,24.9000814062441
"AfiesereEthnicMilitia(Nigeria)",12.4588008108872,-1.67944163142845,39.3060380600741
"AfisiereCommunalMilitia(Nigeria)",3.39089413289225,8.5367655331941,5.51607948431537
"AfmadowCommunalMilitia(Somalia)",-16.7126089885628,0.844553448651435,72.8383022516459
"AfonoCommunalMilitia(Nigeria)",13.2172184582689,18.2181890519173,13.2197592403633
"AFORD:AllianceforDemocracy",-12.4601670341705,2.67699005866765,-18.2295804729644
"AFPR:AllianceofPatrioticResistanceForce",-5.31737994274113,24.4763505819252,-49.5108421013981
"AFRC:AllianceofCongoleseResistanceForces",-7.6206201743191,25.9298704918398,-48.724783229985
"AFRC:ArmedForcesRevolutionaryCouncil",52.452723577087,13.6252498708139,-25.1039441374909
"AFRC:ArmedForcesRevolutionaryCouncil(AdvanceTeam1)",4.34418703005193,-13.8430580714959,-48.5582965416676
"AFRC:ArmedForcesRevolutionaryCouncil(AdvanceTeams)",4.55572511528063,6.93626277865118,-1.67068231786369
"AFRC:ArmedForcesRevolutionaryCouncil(JPK,55andBazzyFaction)",-16.6660166137538,13.4606563008259,-9.47208658547039
"AFRC:ArmedForcesRevolutionaryCouncil(SAJFaction)",4.42503770175205,-16.7341750484657,-49.7045977300931
"AFRC:ArmedForcesRevolutionaryCouncil(SupermanFaction)",-7.61477019755854,-9.72733425378381,1.1133151167401
"AfricaMarineCommando",4.30738898017659,5.01500755133808,-36.9746337366577
"AfrikanerEthnicMilitia(SouthAfrica)",-9.87352387200122,9.88997136867915,-16.9174668886739
"AfuzeCommunalMilitia(Nigeria)",-17.9069034141018,16.8411128147739,-19.9142518967534
"AgaarEthnicMilitia(Sudan)",-29.6898897370705,-10.2959462174879,8.30524987710873
"AgangSouthAfricaParty",-24.8523407074493,16.2015233512144,-9.99695661187775
"AgaOkoCultMilitia(Nigeria)",8.31344413951032,-12.3565001572433,5.29240309317003
"AgarClanMilitia(SouthSudan)",60.2253413022177,-43.2548050354056,-10.0221063303681
"AgarClanMilitia(Sudan)",14.5055800680843,11.2008392896294,-35.3293298657214
"AgatuEthnicMilitia(Nigeria)",42.8086730056214,35.1336204221911,0.467985806338875
"Agaw-QemantEthnicMilitia(Ethiopia)",-27.6688498717692,31.8755766576831,-16.1748378582531
"AgbadumaCommunalMilitia(Nigeria)",14.0689110919933,-7.48460436683099,-4.14296372828818
"AgbajaEthnicMilitia(Nigeria)",-9.40763280029249,17.9004259630038,21.0683751397705
"AgbarhoCommunalMilitia(Nigeria)",34.3551211677863,22.3838336456272,1.78830039477593
"AgbekoyaMilitia",19.1811989075226,-0.521474781219794,-8.39640502565562
"AgbenemaCommunalMilitia(Nigeria)",-0.84044662293497,21.2573421233984,21.2795972613388
"AgbereCommunalMilitia(Nigeria)",-22.5689359625893,-18.2054014600612,-11.7784071557512
"AgbonchiaCommunalMilitia(Nigeria)",8.43556730858553,-17.2314267008967,9.581740416969
"AgbonCommunalMilitia(Benin)",15.8160882076542,8.47338830687357,45.5186428419464
"AgbovilleCommunalMilitia(IvoryCoast)",5.18313310955817,-9.60227149106757,-15.5133617336816
"AgegeEthnicMilitia(Nigeria)",9.31583749766279,-12.2285492159951,6.72903675571121
"AgilaCommunalMilitia(Nigeria)",40.6946463112546,33.5699435503088,-0.58030111763892
"AgniEthnicMilitia(IvoryCoast)",16.0493568771216,-10.0765741074736,-7.32541421200058
"Ago-AreCommunalMilitia(Nigeria)",3.81962735607094,-3.84574604283954,31.3359705797563
"AgongueCommunalMilitia(Benin)",-0.356985500943217,16.9407362738273,-6.80708432271288
"AgonyarClanMilitia(Somalia)",-31.6721756859463,-4.27061891311941,-44.4733578804195
"AgoonClanMilitia(Somalia)",-31.3313644257934,0.394767318600053,-42.3222047682941
"AgoroCommunalMilitia(Kenya)",-3.25561273119124,-13.3650247204443,9.22996345599428
"AgoumarCommunalMilitia(CentralAfricanRepublic)",24.5789889093348,-5.55076643957769,-26.0909104572432
"AgudaCommunalMilitia(Nigeria)",32.5392803065215,22.2620575936324,0.458054806382758
"Agudama-EpieCommunalMilitia(Nigeria)",-2.88469283930251,-0.833624488696543,4.93153816417019
"AgudamaCommunalMilitia(Nigeria)",0.196260781202464,6.50957933016635,10.9147349121164
"AGUDM:PatrioticGinbot7forUnityandDemocraticMovement",-35.7450543384865,37.4595041390826,-14.2116902385253
"AguentasMilitia",9.03869789752165,-1.49774362657863,3.8199754852623
"AguikpaCommunalMilitia(Nigeria)",-26.4357427989248,3.41138766648837,15.3598151505769
"AguleriEthnicMilitia(Nigeria)",28.9492331023719,-5.71527109461058,-15.13949754933
"Aguok-RekSub-ClanMilitia(SouthSudan)",55.7604747927606,-38.8960210602641,-9.71717295236147
"Aguok-RekSub-ClanMilitia(Sudan)",7.75561950654036,-15.6784855819644,9.08137241864467
"AgwaCentralVigilanteGroup(Nigeria)",-18.1428284972687,5.29635669804156,68.1191105255717
"AgwaCommunalMilitia(Nigeria)",13.819724892343,-4.58955962509655,23.7728672985516
"AgwelekForces",56.985701550084,-39.303825520297,-10.1660079035782
"AgzawayaCommunalMilitia(Cameroon)",35.2460213170262,29.8258733188963,28.217251091435
"AheimerMilitia",-3.22788300716948,9.39105232734105,16.3991640673921
"AhmadAl-SharifBattalion",3.76955693639834,8.57935106149949,-13.2136322717776
"AHOI:AmaboluHighOperationalIntegrity",-28.2558821138909,-5.32242345925426,33.9670109746885
"AhrarParty(HemeidaFaction)",0.136493163934202,-12.2050431093627,33.8847431715769
"AhrarParty(SadatFaction)",-29.9684590269465,-5.67383047852397,31.6768443998635
"AIAI:Al-ItihadAl-Islamia",-18.134362637649,-5.40063588145393,-44.1911270380159
"AiDogooCommunalMilitia(Nigeria)",-19.6606318365148,10.8932127987447,37.6797781293393
"AilaCommunalMilitia(Nigeria)",-3.41735961306023,5.15858460891512,-12.7604274545853
"AinDeflaCommunalMilitia(Algeria)",-14.9674102018469,5.99473811561264,-4.13164678986054
"AinMlilaCommunalMilitia(Algeria)",13.7761038756643,-33.2650229741206,-35.3863024795904
"AinSebaaCommunalMilitia(Morocco)",-3.56546806234833,1.76355194747391,70.2280149306
"AIYO:AssociationofIgboYouthOrganisation",29.0078620110417,4.08135889334458,-13.856265707872
"AjahCommunalMilitia(Nigeria)",25.220870064421,30.1131141105221,-9.16231159490378
"AjahIjebuEthnicMilitia(Nigeria)",34.552596730454,23.7731907986949,-0.990663790138713
"AjahIlajaEthnicMilitia(Nigeria)",34.1665335386352,21.3244693125384,0.688428817682443
"AjareEthnicMilitia(Nigeria)",-1.54959699199273,5.64563471475873,1.58100403903052
"AjasorCommunalMilitia(Nigeria)",17.2102094774195,-9.45914526144969,-9.16352668875706
"AjaylatCommunalMilitia(Libya)",-6.02511230201873,-44.9097787027717,-1.46090725536229
"AjdabiyaBorderDivision",1.00101704963511,-45.3987752457111,-2.56268083052496
"AjdabiyaMartyrsBrigade",27.6407016792179,-0.057128482147401,26.20271526822
"AjdabiyaRevolutionariesShuraCouncil",-8.43992730092885,-56.2404991959019,-0.177278235006293
"AjegunleCommunalMilitia(Kenya)",25.1724387263063,24.9577178441844,-1.41168637410469
"Ajiji-KapakoCommunalMilitia(Nigeria)",-21.2687429174133,5.1214959120636,61.0976007162522
"AjnadMisr",-19.025829366758,54.5222901487227,13.7562593262705
"Ajuong-TwicEastClanMilitia(SouthSudan)",3.81378370906635,16.9997193040035,15.8064940425998
"Ajuran-HawiyeSub-ClanMilitia(Somalia)",-25.485343762637,1.11393053290046,-33.2849707370274
"AjuranEthnicMilitia(Kenya)",-19.4912514523372,42.2555029754389,-30.3838865345808
"AkanEthnicMilitia(Nigeria)",-0.115013855916051,3.68302313544092,-3.47734900500888
"AkaraCommunalMilitia(DemocraticRepublicofCongo)",23.5566892598134,-16.1170197099118,1.07286891021794
"AkassaEthnicMilitia(Nigeria)",-13.6083499252553,4.32963179680426,-5.75005892297919
"AkenfaCommunalMilitia(Nigeria)",31.3348421984092,15.4249603253735,5.23618589352062
"AkongaEthnicMilitia(BurkinaFaso)",9.57395087707652,9.41246025128726,-6.20222691159454
"Akop-Apuk-Padoch-RekSub-ClanMilitia(SouthSudan)",-10.898587190574,7.87472663933696,12.6125600038517
"Akop-Awan-Parek-RekSub-ClanMilitia(SouthSudan)",-7.85248081232903,-19.6326008481342,28.8311347429613
"Akop-Kongor-RekSub-ClanMilitia(SouthSudan)",18.7188715389386,-16.7782825872547,21.0168641133293
"Akop-LouMawien-RekSub-ClanMilitia(SouthSudan)",25.031486409233,-8.50731134981238,-7.89903254213639
"Akop-LouPaherRekSub-ClanMilitia(SouthSudan)",46.2136568351948,-25.9286185790528,-5.44880883068631
"Akop-RekSub-ClanMilitia(SouthSudan)",-3.53669098464079,-5.22026722938831,52.0258993123891
"AkorinoSectMilitia(Kenya)",-17.3405892048842,39.2756079968897,-28.8478331796002
"AkpakanmeCommunalMilitia(Benin)",-2.34268270408817,-28.7320232287519,-7.94135939384054
"AkrashiEthnicMilitia(Ghana)",22.9980291828362,2.59806358868071,-0.793118766013524
"AkrodieCommunalMilitia(Ghana)",11.4560630041716,15.4409354813831,28.5885311788349
"AkropongCommunalMilitia(Ghana)",-3.00510025836502,7.64825287888237,67.2217531819479
"AkuCommunalMilitia(Nigeria)",12.8119566139256,0.475370274864621,20.9366492689185
"Akuei-AliabSub-ClanMilitia(SouthSudan)",-18.2981332576723,4.05525963998042,13.6777956887639
"AkungbaCommunalMilitia(Nigeria)",-19.622107394555,-2.2279832252783,16.7069131565161
"Akunu-AkokoCommunalMilitia(Nigeria)",1.45547290793587,-18.4211804980973,25.0213287634914
"AkuseCommunalMilitia(Ghana)",17.2062607490808,-6.90109242029059,6.26300463125716
"AkwaIbomAvengers",0.934445296340813,2.25667098102562,65.6804208990321
"AkwuCommunalMilitia(Nigeria)",6.73108290094966,14.82575250582,31.1818847626557
"AkyemApadwaCommunalMilitia(Ghana)",-24.356474350402,-15.9038195820855,-18.2105162250662
"AkyemBrenaseCommunalMilitia(Ghana)",9.55906167712888,-1.71947159123591,51.4118446832754
"AkyodeEthnicMilitia(Ghana)",13.5396905508097,-6.82494414941329,24.7504512266884
"AkzawayaCommunalMilitia(Cameroon)",29.75478374163,30.8536952356477,28.0531248202992
"Al-AjwadCommunalMilitia(Mali)",12.0201164797567,7.27212653479756,-5.93083951354247
"Al-AmmoBrigade",-14.370716979547,-21.2105067013804,-7.18275384147211
"Al-AwfeaEthnicMilitia(Libya)",15.841957978173,-1.12122233848905,-15.4224865734246
