"event_date","actor1","actor2","latitude","longitude","fatalities","actor1Embedding1","actor1Embedding2","actor1Embedding3","actor2Embedding1","actor2Embedding2","actor2Embedding3","duration"
"10 February 2023","Al Shabaab","Civilians (Somalia)",2.0095,45.25,1,-59.1492872241623,-8.07126875153486,-39.894539214703,-57.9180861865552,-6.12018438870416,-40.1877854189119,4
"09 February 2023","Military Forces of Somaliland (2010-)","SSC: Sool, Sanaag and Cayn Militia",8.4774,47.3597,13,-34.3810264415603,-24.1654594433787,-18.5432425341406,-24.9596626919049,-28.2281836116281,-35.5613562339728,1
"09 February 2023","Unidentified Armed Group (Somalia)","Solo",2.0333,45.35,0,-59.2351132822948,-8.15193176568397,-39.8868119240033,-14.4660191442173,54.5235744090575,12.864400189934,6
"09 February 2023","Al Shabaab","Hawadle Abdi Yussuf Sub Clan Militia (Somalia)",4.0601,45.2577,0,-59.1492872241623,-8.07126875153486,-39.894539214703,-21.5337696908423,5.88367859857891,65.7562581367651,6
"09 February 2023","Al Shabaab","Military Forces of Somalia (2022-) Jubaland Security Force",0.0288,42.2882,0,-59.1492872241623,-8.07126875153486,-39.894539214703,3.56836456474523,-5.59833169562016,12.3440452025423,6
"09 February 2023","Al Shabaab","Military Forces of Somalia (2022-) National Intelligence and Security Agency",2.0095,45.25,1,-59.1492872241623,-8.07126875153486,-39.894539214703,5.27170950954721,-6.55721911914174,27.3701985109295,6
"09 February 2023","Al Shabaab","Military Forces of Somalia (2022-)",2.0581,45.3003,1,-59.1492872241623,-8.07126875153486,-39.894539214703,12.9605266343406,-7.83991278620914,25.5424633603442,7
"08 February 2023","Military Forces of Somaliland (2010-)","SSC: Sool, Sanaag and Cayn Militia",8.4774,47.3597,14,-34.3810264415603,-24.1654594433787,-18.5432425341406,-24.9596626919049,-28.2281836116281,-35.5613562339728,9
"08 February 2023","Habar Gedir-Ayr Sub-Clan Militia (Somalia)","Civilians (Somalia)",5.689,45.9693,2,-49.0191738400847,-7.63040463900247,-40.4567455763073,-57.9180861865552,-6.12018438870416,-40.1877854189119,2
"08 February 2023","Hawadle Harun Sub Clan Militia (Somalia)","Civilians (Somalia)",4.8476,45.2398,0,-26.1728538324721,9.33316246416596,53.1309548208634,-57.9180861865552,-6.12018438870416,-40.1877854189119,4
"08 February 2023","Unidentified Armed Group (Somalia)","Civilians (Somalia)",2.0377,45.35,0,-59.2351132822948,-8.15193176568397,-39.8868119240033,-57.9180861865552,-6.12018438870416,-40.1877854189119,7.5
"07 February 2023","Military Forces of Somaliland (2010-)","SSC: Sool, Sanaag and Cayn Militia",8.4774,47.3597,14,-34.3810264415603,-24.1654594433787,-18.5432425341406,-24.9596626919049,-28.2281836116281,-35.5613562339728,17
"07 February 2023","Unidentified Armed Group (Somalia)","Civilians (Somalia)",2.4074,42.9766,1,-59.2351132822948,-8.15193176568397,-39.8868119240033,-57.9180861865552,-6.12018438870416,-40.1877854189119,26
"07 February 2023","Al Shabaab","Civilians (Somalia)",2.0095,45.25,1,-59.1492872241623,-8.07126875153486,-39.894539214703,-57.9180861865552,-6.12018438870416,-40.1877854189119,2
"07 February 2023","Al Shabaab","Military Forces of Somalia (2022-) National Intelligence and Security Agency",2.0333,45.35,1,-59.1492872241623,-8.07126875153486,-39.894539214703,5.27170950954721,-6.55721911914174,27.3701985109295,10
"07 February 2023","Al Shabaab","ATMIS: African Union Transition Mission in Somalia (2022-) (Uganda)",1.985,45.0018,0,-59.1492872241623,-8.07126875153486,-39.894539214703,-5.75527065652187,20.3477255490735,16.2352138614887,26
"06 February 2023","Al Shabaab","Civilians (Somalia)",4.6066,45.3261,2,-59.1492872241623,-8.07126875153486,-39.894539214703,-57.9180861865552,-6.12018438870416,-40.1877854189119,25
"06 February 2023","Protesters (Somalia)","Solo",8.4064,48.4819,0,-57.5011735154448,-7.86887090128544,-39.4903788052395,-14.4660191442173,54.5235744090575,12.864400189934,2
"06 February 2023","Al Shabaab","Private Security Forces (Somalia)",2.0581,45.3003,3,-59.1492872241623,-8.07126875153486,-39.894539214703,-57.229904812294,-6.67748119606902,-40.7946775111901,1.5
"06 February 2023","Al Shabaab","Police Forces of Somalia (2022-)",2.0844,45.39,1,-59.1492872241623,-8.07126875153486,-39.894539214703,-16.7844459720545,-14.3385415147278,21.0909355099826,7
"06 February 2023","Al Shabaab","Military Forces of Somalia (2022-)",2.0095,45.25,0,-59.1492872241623,-8.07126875153486,-39.894539214703,12.9605266343406,-7.83991278620914,25.5424633603442,19
"06 February 2023","Al Shabaab","Military Forces of Somalia (2022-)",2.0652,45.39,0,-59.1492872241623,-8.07126875153486,-39.894539214703,12.9605266343406,-7.83991278620914,25.5424633603442,1
"06 February 2023","Al Shabaab","Military Forces of Somalia (2022-)",1.8,44.7,0,-59.1492872241623,-8.07126875153486,-39.894539214703,12.9605266343406,-7.83991278620914,25.5424633603442,15
"06 February 2023","Rioters (Somalia)","Solo",8.2516,46.3157,0,-56.5950138033775,-7.7730235107543,-39.3620331388796,-14.4660191442173,54.5235744090575,12.864400189934,15
"05 February 2023","Protesters (Somalia)","Police Forces of Somaliland (2010-)",9.9293,47.2173,0,-57.5011735154448,-7.86887090128544,-39.4903788052395,-27.687553240161,-28.8354169677668,-35.9373747830053,7
"05 February 2023","Al Shabaab","Military Forces of Somalia (2022-)",4.736,45.2043,0,-59.1492872241623,-8.07126875153486,-39.894539214703,12.9605266343406,-7.83991278620914,25.5424633603442,10
